2018-04-26 18:08:12 status unpacked dpkg:amd64 1.19.0.5ubuntu2
2018-04-26 18:08:12 configure dpkg:amd64 1.19.0.5ubuntu2 1.19.0.5ubuntu2
2018-04-26 18:08:12 status unpacked dpkg:amd64 1.19.0.5ubuntu2
2018-04-26 18:08:12 status unpacked dpkg:amd64 1.19.0.5ubuntu2
2018-04-26 18:08:12 status unpacked dpkg:amd64 1.19.0.5ubuntu2
2018-04-26 18:08:12 status unpacked dpkg:amd64 1.19.0.5ubuntu2
2018-04-26 18:08:12 status unpacked dpkg:amd64 1.19.0.5ubuntu2
2018-04-26 18:08:12 status unpacked dpkg:amd64 1.19.0.5ubuntu2
2018-04-26 18:08:12 status half-configured dpkg:amd64 1.19.0.5ubuntu2
2018-04-26 18:08:12 status installed dpkg:amd64 1.19.0.5ubuntu2
2018-04-26 18:08:12 startup archives install
2018-04-26 18:08:12 install libc6:amd64 <none> 2.27-3ubuntu1
2018-04-26 18:08:12 status half-installed libc6:amd64 2.27-3ubuntu1
2018-04-26 18:08:13 status unpacked libc6:amd64 2.27-3ubuntu1
2018-04-26 18:08:13 status unpacked libc6:amd64 2.27-3ubuntu1
2018-04-26 18:08:13 configure libc6:amd64 2.27-3ubuntu1 2.27-3ubuntu1
2018-04-26 18:08:13 status unpacked libc6:amd64 2.27-3ubuntu1
2018-04-26 18:08:13 status unpacked libc6:amd64 2.27-3ubuntu1
2018-04-26 18:08:13 status half-configured libc6:amd64 2.27-3ubuntu1
2018-04-26 18:08:13 status installed libc6:amd64 2.27-3ubuntu1
2018-04-26 18:08:13 startup archives install
2018-04-26 18:08:13 install perl-base:amd64 <none> 5.26.1-6
2018-04-26 18:08:13 status half-installed perl-base:amd64 5.26.1-6
2018-04-26 18:08:13 status unpacked perl-base:amd64 5.26.1-6
2018-04-26 18:08:13 status unpacked perl-base:amd64 5.26.1-6
2018-04-26 18:08:13 configure perl-base:amd64 5.26.1-6 5.26.1-6
2018-04-26 18:08:13 status unpacked perl-base:amd64 5.26.1-6
2018-04-26 18:08:13 status half-configured perl-base:amd64 5.26.1-6
2018-04-26 18:08:13 status installed perl-base:amd64 5.26.1-6
2018-04-26 18:08:13 startup archives install
2018-04-26 18:08:13 install mawk:amd64 <none> 1.3.3-17ubuntu3
2018-04-26 18:08:13 status half-installed mawk:amd64 1.3.3-17ubuntu3
2018-04-26 18:08:13 status unpacked mawk:amd64 1.3.3-17ubuntu3
2018-04-26 18:08:13 status unpacked mawk:amd64 1.3.3-17ubuntu3
2018-04-26 18:08:13 configure mawk:amd64 1.3.3-17ubuntu3 1.3.3-17ubuntu3
2018-04-26 18:08:13 status unpacked mawk:amd64 1.3.3-17ubuntu3
2018-04-26 18:08:13 status half-configured mawk:amd64 1.3.3-17ubuntu3
2018-04-26 18:08:13 status installed mawk:amd64 1.3.3-17ubuntu3
2018-04-26 18:08:13 startup archives unpack
2018-04-26 18:08:13 upgrade base-files:amd64 10.1ubuntu2 10.1ubuntu2
2018-04-26 18:08:13 status half-configured base-files:amd64 10.1ubuntu2
2018-04-26 18:08:13 status unpacked base-files:amd64 10.1ubuntu2
2018-04-26 18:08:13 status half-installed base-files:amd64 10.1ubuntu2
2018-04-26 18:08:13 status half-installed base-files:amd64 10.1ubuntu2
2018-04-26 18:08:13 status unpacked base-files:amd64 10.1ubuntu2
2018-04-26 18:08:13 status unpacked base-files:amd64 10.1ubuntu2
2018-04-26 18:08:13 upgrade base-passwd:amd64 3.5.44 3.5.44
2018-04-26 18:08:13 status half-configured base-passwd:amd64 3.5.44
2018-04-26 18:08:13 status unpacked base-passwd:amd64 3.5.44
2018-04-26 18:08:13 status half-installed base-passwd:amd64 3.5.44
2018-04-26 18:08:13 status half-installed base-passwd:amd64 3.5.44
2018-04-26 18:08:13 status unpacked base-passwd:amd64 3.5.44
2018-04-26 18:08:13 status unpacked base-passwd:amd64 3.5.44
2018-04-26 18:08:13 install bash:amd64 <none> 4.4.18-2ubuntu1
2018-04-26 18:08:13 status half-installed bash:amd64 4.4.18-2ubuntu1
2018-04-26 18:08:13 status unpacked bash:amd64 4.4.18-2ubuntu1
2018-04-26 18:08:13 status unpacked bash:amd64 4.4.18-2ubuntu1
2018-04-26 18:08:13 install bsdutils:amd64 <none> 1:2.31.1-0.4ubuntu3
2018-04-26 18:08:13 status half-installed bsdutils:amd64 1:2.31.1-0.4ubuntu3
2018-04-26 18:08:13 status unpacked bsdutils:amd64 1:2.31.1-0.4ubuntu3
2018-04-26 18:08:13 status unpacked bsdutils:amd64 1:2.31.1-0.4ubuntu3
2018-04-26 18:08:13 install coreutils:amd64 <none> 8.28-1ubuntu1
2018-04-26 18:08:13 status half-installed coreutils:amd64 8.28-1ubuntu1
2018-04-26 18:08:14 status unpacked coreutils:amd64 8.28-1ubuntu1
2018-04-26 18:08:14 status unpacked coreutils:amd64 8.28-1ubuntu1
2018-04-26 18:08:14 install dash:amd64 <none> 0.5.8-2.10
2018-04-26 18:08:14 status half-installed dash:amd64 0.5.8-2.10
2018-04-26 18:08:14 status unpacked dash:amd64 0.5.8-2.10
2018-04-26 18:08:14 status unpacked dash:amd64 0.5.8-2.10
2018-04-26 18:08:14 install debconf:all <none> 1.5.66
2018-04-26 18:08:14 status half-installed debconf:all 1.5.66
2018-04-26 18:08:14 status unpacked debconf:all 1.5.66
2018-04-26 18:08:14 status unpacked debconf:all 1.5.66
